drama_name,Genres,Tags,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,imdb_rating,imdb_user_count,imdb_description
A Tale of Two Sisters,"['romance', 'drama', 'family']","[""sisters' relationship"", 'partner switch', 'secondary couple', 'soap opera', 'birth secret', 'love square', 'rags to riches', 'rich male lead', 'unrequited love ']",135,29-Apr-13,1-Nov-13,"['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS1'],35,6.7,207,78785,7344,Not Yet Rated,741,"['Yoo Geon', 'Park Jae Jung', 'Lee Hae In', 'Park Se Young', 'Hong Jin Hee ', 'Yoon Chae Yi']",['KBS World'],N/A,N/A,N/A
A Thousand Days' Promise,"['romance', 'melodrama']","[""alzheimer's disease"", 'forbidden love ']",20,17-Oct-11,20-Dec-11,"['monday', 'tuesday']",['SBS'],65,7.6,1426,3587,2278,15+ - Teens 15 or older,"4,148","['Kim Rae Won', 'Park Soo Ae', 'Lee Sang Woo', 'Jung Yoo Mi', 'Kim Hae Sook', 'Oh Mi Yun']",[],8.3,89,"A heart wrenching drama about a woman fighting to keep her dignity while dealing with her Alzheimer's. Can she accept help from her lover, even in the face of disgrace?"
A Thousand Kisses,"['romance', 'drama', 'family']","['age gap [drama life]', 'age gap [real life]', 'older man/younger woman', 'older woman/younger man', 'multiple couples ']",50,20-Aug-11,5-Feb-12,"['saturday', 'sunday']",['MBC'],62,6.8,1483,6011,2319,G - All Ages,"4,077","['Seo Young Hee', 'Ji Hyun Woo', 'Kim So Eun', 'Ryu Jin', 'Gu Seung Hyun', 'Shim Hyung Tak']",[],7.4,26,"After divorcing her unfaithful husband, Joo-Mi receives a second chance at romance with an ex-professional soccer player named Woo-Bin. However, Joo-Mi's and Woo-Bin's age gap poses challenges to be overcome."
A Time Called You,"['thriller', 'mystery', 'romance', 'fantasy']","['mdl remake', ""best friends' relationship"", 'attempted assault', 'attempted murder', 'break up', 'attempted suicide', 'time loop', 'parallel dimension', 'sassy female lead', 'family relationship ']",0,N/A,N/A,N/A,['Netflix'],N/A,N/A,N/A,31960,2604,15+ - Teens 15 or older,"3,529","['Jeon Yeo Been', 'Ahn Hyo Seop', 'Kang Hoon', 'Lee Min Goo']",[],N/A,N/A,N/A
A Witch's Love,"['business', 'comedy', 'romance']","['older woman/younger man', 'nice male lead', 'steamy kiss', 'ex-boyfriend comes back', 'warm man/cold woman', 'male chases female first', 'love triangle', 'cheerful male lead', 'cohabitation', 'boss-employee relationship ']",16,14-Apr-14,10-Jun-14,"['monday', 'tuesday']",['tvN'],60,8,11597,1594,339,15+ - Teens 15 or older,"25,360","['Uhm Jung Hwa', 'Park Seo Joon', 'Han Jae Suk', 'Lee Se Chang', 'Ra Mi Ran', 'Sa Hee']","['Prime Video', 'Viki', 'Apple TV', 'AsianCrush']",7.3,498,"Based on the popular Taiwanese drama, My Queen! Despite her witchy reputation at work, 39-year-old tabloid reporter Ban Ji Yeon (Uhm Jung Hwa) is ultra focused on her job. What her colleagues don't know, however, is that the source of her prowess is a broken heart: Since being stood up by her ex-fiance, Ji Yeon has completely written off romance. But in a rare moment of vulnerability, a 25-year-old jack of all trades named Yoon Dong Ha (Park Seo Joon) becomes her unlikely hero. Will they act on their intense sexual tension, or is age a dealbreaker?"
A-Teen 2,"['friendship', 'romance', 'school', 'youth']","['multiple mains', 'high school', 'web series', 'student', 'multiple couples', 'short length series', 'drama', 'comedy ']",20,21-Apr-19,27-Jun-19,"['thursday', 'sunday']","['Naver TV Cast', 'vLive']",15,8,6313,1496,824,15+ - Teens 15 or older,"12,629","['Lee Na Eun', 'Kim Dong Hee', 'Choi Bo Min', 'Kim Soo Hyun', 'Ryu Eui Hyun', 'Kang  Min Ah']","['PlayList Global', 'WeTV', 'Viki']",N/A,N/A,N/A
About Time,"['music', 'romance', 'fantasy', 'melodrama']","['female chases male first', 'ex-girlfriend comes back', 'love triangle', 'rich male lead', ""best friends' relationship"", 'theater setting', 'assistant director supporting character', 'musical actress female lead', 'writer supporting character', 'neuropsychiatrist supporting character ']",16,21-May-18,10-Jul-18,"['monday', 'tuesday']",['tvN'],70,7.5,9375,4057,351,15+ - Teens 15 or older,"24,684","['Lee Sung Kyung', 'Lee Sang Yoon', 'Im Se Mi', 'Han Seung Yeon', 'Rowoon', 'Tae In Ho']","['Apple TV', 'Viki', 'WeTV', 'Netflix']",6.9,605,"Our heroine will have the unfortunate ability to see the ""life clocks"" of everyone around her, including herself, and the hero will somehow be able to stop her ""time"" without lifting a finger. This story will follow time that is stopped, extended, and even erased through the love they have for each other."
Abyss,"['mystery', 'comedy', 'romance', 'fantasy']","['murder', 'reincarnation', 'death', 'nice male lead', 'hidden identity', 'investigation', 'second chance', 'hardworking female lead', 'smart female lead', 'sassy female lead ']",16,6-May-19,25-Jun-19,"['monday', 'tuesday']","['Netflix', 'tvN']",60,7.9,29037,1883,73,15+ - Teens 15 or older,"64,432","['Park Bo Young', 'Ahn Hyo Seop', 'Lee Sung Jae', 'Kwon Soo Hyun', 'Lee Si Eon', 'Han So Hee']",['Netflix'],7.1,"2,371","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they've come back to life in new bodies they don't recognize."
Ad Genius Lee Tae-baek,"['business', 'comedy', 'romance', 'drama']","['workplace setting', 'marketing', 'advertising', 'underdog', 'art', 'melodrama ']",16,4-Feb-13,26-Mar-13,"['monday', 'tuesday']",['KBS2'],65,6.9,1322,5953,2735,Not Yet Rated,"3,313","['Jin Goo', 'Park Ha Sun', 'Jo Hyun Jae', 'Han Chae Young', 'Lee Jung Gil', 'Jo A Young']",['Viki'],N/A,N/A,N/A
Adamas,"['thriller', 'mystery', 'drama']","['revenge', 'twins', 'death of a stepfather', 'writer male lead', 'reporter female lead', ""brothers' relationship"", 'secret', 'death', 'murder', 'investigation ']",16,27-Jul-22,15-Sep-22,"['wednesday', 'thursday']",['tvN'],70,7.9,539,2088,1633,15+ - Teens 15 or older,"6,139","['Ji Sung', 'Seo Ji Hye', 'Lee Soo Kyung', 'Heo Sung Tae', 'Oh Dae Hwan', 'Lee Kyung Young']","['Disney+', 'Disney+ Hotstar']",6.9,139,A story of twin brothers uncovering the truth from an incident 22 years ago.
Adult Trainee,"['friendship', 'comedy', 'romance', 'school']","['miniseries', 'web series', 'steamy kiss', 'multiple mains', 'friends to lovers', 'mild sexual content', 'fake relationship ']",7,12-Nov-21,26-Nov-21,['friday'],N/A,40,7.9,7056,1941,701,Not Yet Rated,"14,527","['Ryu Eui Hyun', 'Cho Mi Yeon', 'Jo Yoo Jung', 'Ryeoun', 'Kim Min Ki', 'Kwon Young Eun']",['TVING'],6.9,230,Three different coming-of-age stories from the point of view of the protagonists about how they deal with their realities in high school at the end of their teenage period as Gen Z.
"Aeja's Older Sister, Minja","['romance', 'family']",[''],140,21-Apr-08,31-Oct-08,"['monday', 'friday']",['SBS'],40,8.1,17,61034,99999,Not Yet Rated,117,"['Cha Hwa Yun', 'Lee Eung Kyung', 'So Yi Hyun', 'Song Yi Woo', 'In Gyo Jin', 'Jung Jae Soon']",[],N/A,N/A,N/A
Aftermath,"['thriller', 'mystery', 'school', 'supernatural']","['miniseries', 'web series', 'short length series', 'supernatural power', 'high school', 'adapted from a webtoon', 'suspense', 'investigation', 'youth', 'romance ']",5,6-Jan-14,12-Jan-14,N/A,['Naver TV Cast'],10,7,2659,5757,1611,13+ - Teens 13 or older,"6,234","['Kim Dong Jun', 'Sun Joo Ah', 'Joo Yeon Woo', 'Kim Min Seok', 'Kim Ri Ah', 'Choi Kyu Hwan']",[],N/A,N/A,N/A
Again My Life,"['mystery', 'law', 'drama', 'fantasy']","['time travel', 'fight for justice', 'death', 'prosecutor male lead', 'corruption', 'investigation', 'second chance', 'bullied male lead', 'competitive male lead', 'grim reaper supporting character ']",16,8-Apr-22,28-May-22,"['friday', 'saturday']","['SBS', 'ViuTV']",65,8.3,5515,612,595,15+ - Teens 15 or older,"16,854","['Lee Joon Gi', 'Lee Kyung Young', 'Kim Ji Eun', 'Jung Sang Hoon', 'Choi Kwang Il', 'Hong Bi Ra']",['Viki'],7.9,849,"A hot-blooded prosecutor is murdered when he gets entangled in an investigation around a corrupt politician. He gets sent back in time to when he was 18 years old, and he prepares to take down his enemy."
Age of Warriors,"['military', 'historical', 'drama', 'political']","['goryeo dynasty', 'historical fiction', 'inspired by real events ']",158,8-Feb-03,15-Aug-04,"['saturday', 'sunday']",['KBS1'],60,7.3,18,70995,99999,Not Yet Rated,103,"['Im Hyuk', 'Kim Gab Soo', 'Lee Deok Hwa', 'Kim  Gyu Chul', 'Kim Myung Kook', 'Seo In Seok']",[],N/A,N/A,N/A
Air City,"['action', 'romance']",[''],16,19-May-07,8-Jul-07,"['saturday', 'sunday']",['MBC'],60,7.1,349,5652,6378,15+ - Teens 15 or older,945,"['Moon Jung Hee', 'Choi Ji Woo', 'Lee Jin Wook', 'Lee Jung Jae', 'Lee Sang Yoon', 'Park Tam Hee']",[],N/A,N/A,N/A
Alchemy of Souls,"['action', 'historical', 'romance', 'fantasy']","['spirit', 'master/disciple relationship', 'transmigration', 'multiple mains', 'strong female lead', 'age gap [real life]', 'kind male lead', 'birth secret', 'assassin female lead', 'magical power ']",20,18-Jun-22,28-Aug-22,"['saturday', 'sunday']","['Netflix', 'tvN']",80,9,5137,36,313,15+ - Teens 15 or older,"26,708","['Lee Jae Wook', 'Jung So Min', 'Hwang Min Hyun', 'Shin Seung Ho', 'Yoo  Joon Sang', 'Oh Na Ra']",['Netflix'],8.6,"1,732","The fate of two people becomes twisted due to ""hwanhonsool"" (the soul of the dead return to the living)."
Alice,"['mystery', 'sci-fi', 'fantasy', 'melodrama']","['time travel', 'mother-son relationship', 'double identity', 'alexithymia', 'older woman/younger man', 'murder', 'police department setting', 'death of a mother', 'death of a father', 'detective male lead ']",16,28-Aug-20,24-Oct-20,"['friday', 'saturday']",['SBS'],70,7.4,4823,4638,798,15+ - Teens 15 or older,"13,022","['Kim Hee Sun', 'Joo Won', 'Kwak Shi Yang', 'Lee Da In', 'Kim  Sang Ho', 'Hwang Seung Eon']","['SBS World', 'Viki']",N/A,N/A,N/A
All About My Mom,"['romance', 'drama', 'family', 'melodrama']","['married couple', 'cancer', 'nice male lead', 'marriage', 'pregnancy ']",54,15-Aug-15,14-Feb-16,"['saturday', 'sunday']",['KBS2'],80,7.9,1374,2068,2745,Not Yet Rated,"3,297","['Eugene', 'Lee Sang Woo', 'Go Doo Shim', 'Kim Mi Sook', 'Choi  Tae Joon', 'Oh Min Suk']","['Viki', 'KBS World']",7.9,50,"Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing difficult times with her mother-in-law, Jin Ae begins to understand her mother San Ok for the first time.

—MyDramaList"
All About My Romance,"['comedy', 'romance', 'political']","['forbidden love', 'secret relationship', 'male chases female first', 'enemies to lovers', 'eccentric male lead', 'love square', 'unrequited love', 'love/hate relationship', 'secret romance', 'blackmail ']",16,4-Apr-13,29-May-13,"['wednesday', 'thursday']",['SBS'],63,7.6,1934,3428,1842,15+ - Teens 15 or older,"5,256","['Shin Ha Kyun', 'Lee Min Jung', 'Park Hee Soon ', 'Han Chae Ah', 'Min Ji Ah', 'Gong Hyung Jin']","['SBS World', 'Viki']",7.6,86,A conservative government party member falls for the fiesty young leader of an upstart liberal party in this Korean romantic comedy.
