kdrama_name,imdb_rating,imdb_users,imdb_description
Alchemy of Souls,8.6,"1,732","The fate of two people becomes twisted due to ""hwanhonsool"" (the soul of the dead return to the living)."
All About My Mom,7.9,50,"Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing difficult times with her mother-in-law, Jin Ae begins to understand her mother San Ok for the first time.

—MyDramaList"
All About My Romance,7.6,86,A conservative government party member falls for the fiesty young leader of an upstart liberal party in this Korean romantic comedy.
All In,7.8,376,"As a kid, all Kim In Ha ever did was follow his uncle around and help him cheat in gambling. As a high school student, he hung out with his friends at the basement of a theater. As Kim In Ha gets to know Choi Jeong Won, a model student and also the son of a very rich family, In Ha tries to tempt him into doing mischievous deeds.

—anonymous"
All of Us Are Dead,7.5,"46,185",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.
Alone in Love,8.7,271,"This is the story of two ordinary people who meet and fall in love, marry and divorce, but are unable to move on from that point, because their love did not end when they separated. Eun-Ho and Dong-Jin meet one day at the bookstore where he works at and they're immediately drawn to each other. They fall in love after subsequent meetings, and the two are married like millions of others who are in similar situations. But two years later they are divorced, and that's where the story opens. A pair of divorcées sitting across from each other talking about each other's lives. There's nothing about them that stands out from the crowd. They have ordinary jobs, he works at a bookstore and she at the fitness club. Neither is extremely good-looking, nor rich, nor charismatic. But there is something different about them, and as the story reveals the reasons behind their divorce, their continuing meetings after divorce, their mingling in each other's lives, their matchmaking attempt for each other, and their internal monologues about each other, it becomes apparent they are each other's destiny if such thing exists. But even so, getting back together might be asking too much, since that would open up a wound that they've tried to bury for three years. Furthermore their new love-interests, Mi-Youn and Hyeon-Joong are marking their steps into Dong-Jin and Eun-Ho's lives, and the new love might just be a wiser option for two that have tried but failed already. In fact, Hyeon-Joong may have more things in common with Eun-Ho than she ever did with Dong-Jin, and Mi-Youn seems to need Dong-Jin more than Eun-Ho ever did, this alone might be enough for the pair of divorcées to finally cut the tie between them.

—Anonymous"
Andante,6.7,225,Moving to a new school is easy for a computer genius who skips school. But things change.
Angel Eyes,7.4,442,"A melodrama about a man and a woman who are each other's first loves, but get separated at childhood due to a painful family situation and meet again 12 years later. Yoon Soo Wan is legally blind woman who gets her vision back after receiving a corneal transplantation in an operation and decides to embrace life with passion by becoming an emergency rescue worker who is known not only by the fire department, but also by the local hospital. She is a tomboyish character who still fondly remembers her first love from 12 years ago.

—Kdrama"
Angel's Last Mission: Love,7.7,"2,098","Dan is a care-free angel who always gets into trouble. In order to return to heaven, he is tasked with a mission to find true love for a cold and single-minded ballerina Lee Yun Seo, but ends up falling for her himself."
Angel's Revenge,6.9,24,"a very young girls trio escapes from a convent to meet boys on a disco. A pretty young nun go after them, entered disguised at disco and when she finds the missed sheep being forced for a boy, she don't hesitates and with a jump, lands her feet over the chest of the poor boy. If i tell you the nun is So Yi Yoon, you can say so what, surely remembering ARAHAN, SHADOWLESS SWORD and so. Less usual could sounds that So Yi don't repeat neither a single kick nor a fist in the 103 chapters. Angel s Revenge instead is a tearful story, with some enjoying characters, the hated Jang Taejong, notorious villain, the grand mother Gong, the nun, Sister Maria, returning to a civil Lee Seonyu, to investigate the murder of her sister, Lee JinYU. Its a touching, sometimes painful enormous movie where almost all the stars do right, but...¿can somebody explain why So Yi begins the movie kicking fine but never ever she defends herself against the frequents attacks ?

—mau davi"
Angry Mom,7.5,529,"This drama is about Jo Gang-ja, a mother who was known as a tough girl in high school. Her daughter Ah-ran is bullied at school and when Gang-ja finds out, she makes it her responsibility to stop her daughter's bullying. She ends up becoming a high school student again.

—wendy mcknight"
Anna,7.5,288,"Yoo Mi is the woman who tells a small lie and ends up living someone else's life. Hyun Joo is a woman who lives her life holding herself above everyone, treating them with neither kindness nor malice. She has a subtly tense relationship with Yoo Mi. Ji Hoon is Yoo Mi's husband who is ambitious and future-oriented. Ji Won is a dependable senior who is the only person whom Yoo Mi trusts. (Source: Naver)

—mariamiteloro"
Another Miss Oh,7.8,"1,903","A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future."
Apgujeong Midnight Sun,8,6,The lives of cable TV employees become intertwined as they enter romantic and combative relationships with one another.
Argon,7.3,276,"ARGON shows the struggles behind the scenes in the competitive world or daily news. Work, play, love, hate, trust and betrayal are on the headlines every episode."
Arthdal Chronicles,8.3,"4,426","Arthdal Chronicles depicts the birth of civilization and nations in ancient times. It is a story of mythical heroes, their struggle, unity and love of people living in a virtual land called Arth."
Assembly,7.1,31,"Sang-Pil is a shipyard welder who gets elected to the national assembly. As he enters upon the duties of his new position, Sang-Pil quickly realizes that being an effective assembly member will be more difficult than he had anticipated."
"At a Distance, Spring Is Green",8,661,A coming of age campus story about youth in their 20s whose lives appear to be like the beauty of spring from afar but cold and harsh when viewed up close.
Autumn Shower,7,7,"A story about a man, Choi Yoon-jae (Oh Ji Ho) who ends up getting into a car accident causing the passenger, who is his wife, Gyoo-eun (Kim So Yun) to end up in the hospital who now suffers from a coma. Park Yeon-seo (Jung Ryu Won) is Gyoo-euns best friend, who secretly is in love with Yoon-jae. While Gyoo-eun is in a coma, her husband and best friend starts an affair. Will Gyoo-eun ever wake up from her coma? If so what will happen?"
Avengers Social Club,8.1,198,This series features three women from different status coming together for revenge. They join forces to carry out their individual revenges.
Awaken,7.5,531,"It is a romantic mystery about digging through the secrets of mysterious events that occurred in a village 26 years ago, that are somehow linked to the mysterious events happening in the present."
Babel,6.6,54,"A prosecutor who started out as a newspaper reporter, whose personality is described as fiery and hot-tempered. He grew up in a comfortable life, but one day his family is shattered when his father dies in an accident whose cause is unclear, and his mother takes her own life. When he finds out that his father's bankruptcy and death are connected to a conglomerate, he begins his mission to uncover the truth and get revenge."
Baby Faced Beauty,6.6,109,"Jang Na Ra (My Love Patzzi) marks her return to Korean dramas with Baby Faced Beauty. Na Ra plays Lee So Young, a 34-year-old woman who looks ten years younger than she is, and manages to fool everyone about her age. So Young also has a large family debt to take care of. With only a high school education and big dreams of being a fashion designer, she has her work cut out for her. The only thing she has going for her in the cutthroat fashion world is her youthful appearance. In a fortunate accident, she gets mistaken for her younger sister Lee So Jin for a modeling job and manages to land a job at her dream fashion company. There, she meets one of the managing directors, Choi Jin Wook, who looks far older than he really is. The two of them clash, especially since Jin Wook treats So Young with disrespect, as if she is younger than he is-though she's actually his senior! See if age really does matter in this tale of love and fashion that will make you smile no matter how old you are."
Bachelor's Vegetable Store,7.7,83,"Based on the true story of a young man who turned a tiny vegetable shop into a national chain, Bachelor's Vegetable Store centers on the love lives and successes of six single young men. Ji Chang Wook is a talented young man with big dreams who finds himself falling in love. Complications ensue when Chang Wook's friend, a wealthy heir who grew up without a father, comes to work at the shop and falls for a spoiled young heiress, who is drawn to Chang Wook instead. Pop singer Ji Hyuk, model Sung Ha, and musical actor Shin Won Ho round out the quartet of good-looking bachelors who work together and struggle with life, love, and their careers in this heartwarming, rags-to-riches story."
Backstreet Rookie,7.5,"2,465",A former troublemaker applies for a job at a convenience store owned by the same man who ran errands for her a few years ago.
Bad and Crazy,8.1,"1,869",A heroic drama that follows capable but bad cop Ryoo Soo-yeol regaining his humanity after meeting the righteous but crazy 'K'.
Bad Guys,7.8,"1,601",A group of criminals are brought together by the law to assist in stopping crime.
Bad Housewife,7.8,9,N/A
Bad Papa,7.3,123,"Yoo Ji Cheol used to be a top boxer. After hitting rock bottom, he decides to gain control of his life again through mixed martial arts."
"Bad Thief, Good Thief",8.2,88,The story centers on thieves who strike against people in high power who try to control Korea.
Band of Sisters,8.4,28,"Kim Joo Hyun (aka Han Joo Hyun from Modern Farmer), Jang Seo Hee (Obstetrics and Gynecology Doctors) and Oh Yoon Ah (Saimdang, Light's Diary) star in an ensemble drama that proves the bonds of joy and love are stronger than even death. When three women lose their loved ones at the same time, they band together and help each other get through the pain and jointly raise a child. The first ""sister"" is Kang Ha Ri (Kim Joo Hyun), who has a super personality that's probably a bit too bright for her profession. She is a part-timer, who works at a stationary store and nail shop. The second ""sister"" is Min Deul Re (Jang Seo Hee). She was once a popular actress. But the industry is brutal and the rule is simple: for the vast majority of actors and actresses, youth gone equals career gone. Now, she's just a has-been. The third ""sister"" is Kim Eun Hyang (Oh Yoon Ah), who is chic and elegant. She once worked as a secretary at a huge firm. However, now she focuses entirely on raising her daughter. Together, these three focus on helping each other through tough times and face everything life throws their way. Looking for a way to heal, they bring some joy into their life by caring for a young girl together. Joining the cast is also Seol Ki Chan (Lee Ji Hoon from Go Ho's Starry Night), a man who grew up in an orphanage and Yang Dal Hee (Kim Da Som, aka Dasom from SISTAR), a charming and intelligent girl who also seems to lie quite a bit and hates being poor. Can the band of sisters cope with all that is coming their way via sisterhood, or is life a little more difficult than simply ""fighting?"" Also known as ""Unni is Alive"" and ""Sister is Alive,"" Band of Sisters is directed by Choi Hyeong Hun, who fans will remember for his work on Second to Last Love. The drama is written by Kim Sun Ok (Temptation of an Angel), who is reuniting with her Temptation of Wife star Jang Seo Hee. Band of Sisters will air on DramaFever with two episodes every Wednesday starting on April 19, 2017 for a du"
Basketball,5.3,29,"Drama series is set within the turbulent period between the Japanese colonial era and the division of Korea into North and South. Kang San is from a poor family. He struggles to get away from poverty. Through the game of basketball, he becomes successful and meets a girl from the upper class. He dreams of their love overcoming the disparity in their social standing.

—MDL"
"Be Strong, Geum-soon!",8.2,15,N/A
Beating Heart,8.1,24,"Beating Heart (aka Six Love Stories) is a 12 episode Korean TV drama that revolves around the life of a somewhat ordinary modern family. Broken down into 6 two part episodes (each helmed by a different writer and director), this series weaves together the individual lives and loves of each of the family members into a coherent and effective story.

—Anonymous"
Beautiful Days,8,93,"Sun-jae's father and Sung-chun are like brothers. Sun-jae's father was murdered by Sung-chun in 1975 before Sun-jae was born. Sung-chun's involvement in the murder was covered up. In 1985 immediately after Sung-chun's wife dies, Sung-chun has Sun-jae and his mother move in with him and his children (Min-chul and Minji). Sung-chun tells everyone Sun-jae is his real son, but in actuality he is not. Min-chul and Minji hate their father, Sun-jae and Sun-jae's mother. Sun-jae meets Yonsoo and Sena while visiting Grace Home (an orphanage). Yonsoo is touched by Sun-jae's kindness. Yonsoo accidentally burns Sena with hot water and is guilt-ridden. In 1995, Yonsoo leaves Sena at the orphanage to look for a job and earn money so that Sena can join her later. She promises to meet Sena at the Seoul Tower on Christmas Day.

—Michael D."
Beautiful Gong Shim,7.4,922,"This drama is about the Love story of two sisters and two men. The older sister has everything, including a beautiful appearance, and the younger sister only has a warm heart. One of the men lives on a rooftop apartment and the other man comes from a wealthy family."
Beautiful World,8.2,141,"""Beautiful World,"" tells of an incident of school violence which leaves a young boy on the precipice of life and death as his family seeks for justice in his stead."
Because This Is My First Life,8.1,"4,762","Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee."
Becoming Witch,6.4,18,Three friends from different backgrounds each encounter enemies they'd like to kill.
Behind the White Tower,8,12,"What does it take to climb the ivory tower of success? Jang Joon Hyuk (Kim Myung Min) is brilliant and ambitious and a rising star as an assistant professor at the prestigious Myeongin University Hospital's surgery department. Although everyone acknowledges Joon Hyuk's unparalleled medical skills, his cold personality doesn't win him many friends or supporters within the hospital."
Best Chicken,6.5,40,"A man works for a big company although his dream is to run a chicken restaurant. A woman who lives at a bathhouse that her late grandfather left behind, only leaves her home when she absolutely has to. She wants to become a webtoon writer. These two meet and grow with each other."
Beyond Evil,8.1,"3,137","The story of two fearless men who are willing to go through extreme lengths in their pursuit of a returning serial killer. To uncover the murderer's identity, the two are forced to look deeper than what the evidence seems to suggest."
Big Issue,7.6,67,A disgraced paparazzo is forced to work for a ruthless scandal sheet in order to get a heart transplant for his daughter. Joo Jin mo is an excellent actor.
Big Man,7.3,91,"Kim Ji-Hyeok (Kang Ji-Hwan) doesn't have parents and goes through a tough life. He then meets Dal-Sook who runs a small restaurant at a traditional market. Kim Ji-Hyeok follows her like his mother and settles down at the traditional market. He works hard to open up his own store within the traditional market. Suddenly, Kim Ji-Hyeok becomes a hidden son from a family that owns Korea's top company Hyunsung. He realizes though that there are impure intentions. Since that moment, Kim Ji-Hyeok takes revenge upon the people at the Hyunsung company. He becomes romantically involved with a woman named So Mi-Ra (Lee Da-Hee) who he meets at the most important time in his life."
Big Mouth,8.3,550,Thriller about an unsuccessful lawyer who gets involved in a murder case and is somehow fingered as genius swindler Big Mouse.
Birth of a Beauty,7,945,"Overweight, kind-hearted Sa Geum-ran (Ha Jae-sook) married into a well-to-do family, but her husband Lee Kang-joon (Jung Gyu-woon) has spent the past seven years in the United States for his business, and she lives with his mother and sisters who treat her badly. Geum-ran learns that Kang-joon has been having an affair with sophisticated broadcast announcer Gyo Chae-yeon (Wang Ji-hye), and he asks for a divorce. When she sees her in-laws welcoming Chae-yeon with open arms, the distraught Geum-ran threatens her husband, who follows her and causes her to drive her car off a cliff. Everyone assumes that Geum-ran committed suicide and attends her funeral, not knowing that she's still alive. To get revenge against those who've wronged and betrayed her, Geum-ran begs Han Tae-hee (Joo Sang-wook), whom she thought was the plastic surgeon of extreme-makeover television show Change, to transform her, and he reluctantly agrees because of his own ulterior motives. After weight loss and surgery, Geum-ran emerges from the full-body makeover as a stunningly beautiful woman, and she begins calling herself the new name Sara (Han Ye-seul), albeit retaining her coarse ajumma personality. With Tae-hee as her life coach, they scheme to ruin Kang-joon and Chae-yeon's upcoming wedding in three weeks. But as Sara interacts with Kang-joon in their staged run-ins, old feelings resurface, and she decides that instead of destroying him, she wants her husband back. They adjust their plan accordingly, though Tae-hee soon finds himself falling for Sara."
Black,7.9,"3,933",A man possessed by death. A woman who can see death. The earthly and the afterworld collide dangerously.
Black Knight,6.5,432,"Black Knight is a love story between a woman who is waiting for the love of her life and a man who is willing to do anything to protect his love. The story spans over two hundred years. Moon Soo Ho is a businessman with a pure heart, but he never shows his true colors to anyone except for Jung Hae Ra, a travel agent who has never traveled abroad. Soo Ho and Hae Ra grew up like siblings in Hae Ra's house, but they got separated later. They meet each other after they grow up and love approaches them as if it were fate. Will their love survive despite all the faltering events?"
Blade Man,6.5,340,"Joo Hong Bin, the CEO of a game company, has got everything. He is capable, rich and even good-looking. However, this perfect guy lacks in one thing. He is so ill-tempered. The worst guy on the planet. One day, this supercilious guy turns into a monster. When it rains, he becomes furious and some blades are coming out from his body. Moreover, Se Dong, a woman with a bright personality and Chang, his first love's son appear making him confused.

—Kdrama"
Blood,6.7,838,Set within a hospital. A vampire works as a doctor. A battle between good and evil as well as immortal love takes place.
Bloody Heart,7.2,219,"Set in the Joseon Dynasty, King Lee Tae and Queen Jeong draw their swords at each other amid political conflict in this bloody romance."
Blow Breeze,7.4,30,"A wealthy, elderly man who was born in North Korea and amassed a $100 million fortune in South Korea knows that his time is short. One day, he coincidentally learns that he had a son that he did not know of. The elderly man desperately tries to track down his son but learns that he died. However, the elderly man soon discovers that his son has a daughter who was also defected from North Korea and is currently living in South Korea. Now, the elderly man is seeking to find her whereabouts so that she can inherit his fortune. The story revolves around the long-lost family members and a South Korean man with a North Korean woman who is able to find love by overcoming their differences.

—MBC"
Bossam: Steal the Fate,7.6,197,"Bossam was a custom in Joseon period, in which a bachelor, who missed marriage secretly wrapped up a widow in a blanket at night and made her his wife. This custom changes the fate of Ba Woo when he kidnaps a princess by mistake."
Boys Over Flowers,7.9,"12,008","Poor girl attends the elite Shin Hwa High and is bullied by the leader of F4 (the four richest boys). He becomes attracted to her; however, she has a crush on his best friend. Whom will she choose?"
Brain,8.2,70,"Lee Kang Hoon (Shin Ha Kyun) is a talented neurosurgeon who graduated from a top medical school and works at the top hospital in Korea, Chunha University Hospital. He has ambitions to become the director at Chunha and would go to great lengths to achieve this. He is obsessed with success, which is probably both his greatest flaw and strength, since it makes him steely and fierce. He finds a hated enemy, a rival and a teacher in Professor Kim Sang Chul (Jung Jin Young), a world famous neurologist whose friendly demeanor and kindness with his patients acts as a stark contrast to Lee Kang Hoon's cold and unforgiving attitude. Yoon Ji Hye (Choi Jung Won) is a third-year resident in the neurosurgery department who is well-liked for her warm bedside manner. She is initially a thorn in Kang Hoon's side with her criticisms of his behavior, but later becomes his staunchest supporter. Seo Joon Suk (Jo Dong Hyuk) is Kang Hoon's classmate and rival in both love and career.

—D-Wiki"
Bravo My Life,7,11,"A heady drama producer, an assistant director, and an actor who hasn't debuted after seven years in the industry navigate the world of television drama production."
Bridal Mask,8.3,661,"In 1930s Korea, during the Japanese colonial era, a man who is a Korean police officer assigned to aid the Japanese in the annihilation of the local rebellion, secretly dons the 'Bridal Mask' and fights the unjust regime."
Bride of the Century,7,518,"The Taeyang Corporation is the largest conglomerate in South Korea. The family that runs Taeyang has been under a curse for hundred years that the first bride of the eldest son will always die. Under this situation, a love like fairy tale occurs while conspiracies run rampant. The drama will focus on self-discovery and the search for sincere love. ~ Drama Wiki"
Brilliant Heritage,7.9,16,A warm and educational family drama about a 33 year-old unmarried woman conspires to marry a millionaire in his 80s and looking for family love with his four handsome sons.
"Bring It On, Ghost",7.6,"2,590","A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he's discovered over the years is that he can touch them and fight them off, so when he's in need of a part-time job and can't find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: ""Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%."" One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.

—MyDramaList"
Can We Get Married?,6.5,117,"The drama revolves around a mother who gets involved in her daughters' marriages which causes more harm than good. Deul Ja (Lee Mi Sook) is a strong, meddling mother with daughters to marry off. She owns a cosmetics store and raises her two daughters on her own. She considers money the most valuable thing in the world - which makes her single-minded in the pursuit of prospective son-in-laws. Her own marriage experience was unhappy, so she's set on making sure it's different for her children. She marries off the elder daughter to a doctor, then turns her attention to the younger daughter, Hye Yoon (Jung So Min) but only to have the daughter reveal that she wants marry to an ordinary salary man, Jung Hoon (Sung Joon).

—Koreandrama.org"
Can't Lose,7.3,13,"Korea's biggest Hallyu star Choi Ji Woo ( Winter Sonata ) and the one and only ""Oska"" Yoon Sang Hyun ( Secret Garden ) come together in this drama about two married divorce lawyers who butt heads in and out of the courtroom. Lee Eun Jae and Yeon Hyung Woo fell in love at first sight without knowing much about each other. After a romantic meeting at a baseball game, the two quickly marry, but as all whirlwind marriages go, the spark fizzles quickly, and things soon begin to fall apart for these two mis-matched divorce lawyers. When their married friends come running to them begging for divorces, Eun Jae and Hyung Woo begin to wonder if divorce may be the best solution for their problems as well. Money and career tensions fuel the already raging fire and soon regret abounds for their hurried love affair."
Capital Scandal,8,82,"This drama is set in the 1930's when Korea was under the rule of Japan. Na Yeo Kyeong was the owner of a book store and she was also a freedom fighter. Seon Woo Wan was the playboy son of a rich family and he became involved in the independence movement through a bet with his co-workers to win Na Yeo Kyeong's heart. His father paid for the education of his worker's son, Lee Soo Hyeon, and was disappointed to find him working for the Security Branch of the Japanese government. Cha Song Joo was a famous gisaeng who ran a high class brothel.

—D-Wiki"
Catch the Ghost,7.4,409,"When a rookie detective Yoo Ryung's autistic twin sister goes missing, Yoo Ryung joins the subway police team to try and find her."
Cheese in the Trap,7.3,"4,047","This drama series shows the delicate relationship between a female university student Hong Seol (Kim Go-Eun) and her senior Yoo Jung (Park Hae-Jin). Hong-Seol works a part-time job since her household is poor. Yoo Jung is perfect with good academics and athletics plus he is kind. However, he also seems to have a dark side about him with some people holding grudges over him...

—Maha Maha"
Cheongdam-dong Alice,6.4,267,"A young fashion designer seizes the opportunity to marry into a wealthy family, and finds out more about love and herself along the way, in this modern Korean take on several age old stories."
Chicago Typewriter,8.3,"1,772","Writers that lived under Japanese rule in the 1930s are reincarnated into a bestselling writer who is in a slump, a mysterious ghostwriter, and a devoted fan of the bestselling writer."
Chief of Staff,7.9,569,"As a chief of staff in the National Assembly, Jang Tae-jun influences power behind the scenes while pursuing his own ambitions to rise to the top."
Children of a Lesser God,7,124,"Chun Jae In is an elite detective with a genius IQ, who guided by only facts, logic, and numbers. Meanwhile, Kim Dan is a rookie detective who can see ghosts. They work together to uncover a conspiracy involving a powerful organization."
Children of Nobody,7.8,241,"Cha Woo Kyung is a child counselor, happily married and pregnant. Her life gets turned around when she hits a child in a car accident. She works with detective, Kang Ji Hun, to catch a serial killer and uncover the mysteries of her past."
Chimera,7.3,341,"An explosion took place in the past. That explosion led to a serial murder case known as the Chimera case. 35 years later, a similar explosion takes place."
Chip In,7.4,64,"""CHIP IN"" is a mystery tracking drama about the fierce battle of brains over tens of billions of won of property by a famous artist."
Choco Bank,6.3,137,"Can everyone fulfill the destiny of his or her name? Kim Eun Haeng (Kai) was named after the word ""bank"" in Korean. But despite his auspicious name, Eun Haeng is still struggling to land his first job after graduating from college."
Chocolate,7.6,"1,231","Lee Kang is a neurosurgeon, who once dreamed of becoming a chef. As a child, Moon Cha Young once met Lee Kang at a small restaurant in the seaside town. There, Lee Kang cooked and gave her a meal, which in part inspired her to become a world-famous chef. Many years later, the two meet again at a hospice ward and together they heal their own emotional scars by preparing meals for the patients there."
Circle,8.1,463,"A Sci-Fi-Mystery drama - episodes contain two shorter stories, the first half is set in 2017 called ""Beta Project,"" and the second half in 2037 called ""Grand New World."" Aliens arrive on earth and humans take advantage of their knowledge and learn new skills from them, In the year 2037, humans emotions are controlled and regulated. The story centers on two brothers in both 'Beta Project' and 'Grand New World' as they try and figure out the mystery that surrounds them and find needed answers."
City Hunter,8.1,"5,923",Lee Yun-seong was trained by his father's best friend in order to get revenge on the government for killing everyone in his father's unit.
Class of Lies,7.7,453,"The drama is about a highly successful lawyer who falls from grace because of one case. He becomes a fixed term teacher at a high school that is tied to that case in order to regain his honor. Though he goes into the classroom for selfish reasons, he begins to see the crimes that take place and he takes matters into his own hands to help protect victims from their peers. The drama will shine a spotlight on the reality of teenagers facing little to no repercussions after committing a crime because they are teenagers, providing no protection for those who become a victim to these crimes.

—Soompi"
Clean with Passion for Now,6.9,"1,507","Gil Oh Sol, an employee at a cleaning company, meets Jang Sun Gyeol, the boss of the company. The two are diametric opposite when it comes to cleanliness. With the help of Oh Sol, Sun Gyeol faces his mysophobia and finds love."
Cleaning Up,7.1,25,Tells the story about the struggle cleaners at a security firm have as they try to create a new destiny for themselves after overhearing about insider trading.
Color Rush,7,999,"Living with neurological blindness that limits his ability to see color, Yeon Woo has grown up in a world that looks very different from the one most people are accustomed to seeing. Only able to decipher varying tones of gray, Yeon Woo knows the world is full of colors but he has never seen them for himself. At least not until the day Yoo Han comes crashing into his world. As if brought together by fate, Yeon Woo's life is forever changed the day he meets Yoo Han. Falling for the boy's many charms, Yeon Woo is overwhelmed by the unexpected rush of emotions he feels every time Yoo Han is near. What's even more surprising is the sudden rush of color that washes over the world whenever Yoo Han walks into the room. Could this be a sign that Yoo Han is his destiny? While Yeon Woo ponders his fate, his aunt Yi Rang searches desperately for the sister who went missing years ago. Joining his aunt on her quest, Yeon Woo recruits Yoo Han's help and together they search for his mother. As they dig deeper into the mystery surrounding her disappearance, an unexpected story begins to unfold. Will these fated boys be able to solve the mystery of a missing mother while simultaneously unraveling the mysteries of their own hearts?"
